,,,,,,
Variable 1(y values),Variable 2(x values),a,b,c,d,R^2
FT108,FT108,5.66814273864147E-22,-9.41664344657624E-19,1,-7.00702320802072E-14,1
FT108,FT109,8.19773150237386E-08,0.000113901434949412,0.834365339667856,-4.13604036670355,0.999670663763282
FT108,LT108,0.00278823190653347,-0.29610061289955,-2.63212522351028,771.02218370306,0.979308406754872
FT108,PT115a,9018521.33162302,-34791021.5629531,39661332.4706678,-14113403.6195976,0.809932270261052
FT108,PT115b,29.7036240706227,-291.830733025388,1138.10085275485,-1010.8672271132,0.991310208894524
FT108,J101b,0.000417375347803103,-0.0336874110781558,19.0403371436888,-18.3000971358004,0.997565584655105
FT109,FT108,-5.37970822685025E-09,-0.000220179927738768,1.19380373030578,6.03816236318722,0.999649067419432
FT109,FT109,0,0,1,0,1
FT109,LT108,0.00328835377078501,-0.381468545136587,1.36567691977988,761.886923831103,0.97933042152168
FT109,PT115a,89374337.2725208,-240125417.488347,214556902.037686,-63769006.7365379,0.813858951682908
FT109,PT115b,35.3384862222975,-349.692426778664,1318.47518875383,-1140.01331921233,0.991222209615145
FT109,J101b,0.000487126440834123,-0.114456385999922,22.8609984865674,-16.1977410521159,0.997864699998444
LT108,FT108,-2.00807311462676E-07,0.000280535954300784,-0.202788022658983,86.2801935194778,0.971528320672211
LT108,FT109,-2.01250319710566E-07,0.000279760144256459,-0.202124217981366,89.8587953019158,0.973116548865698
LT108,LT108,1.27696962330143E-19,-2.03512370691772E-17,1,-1.06736400118178E-14,1
LT108,PT115a,-18215204.3668086,47496566.5644239,-41267653.2822366,11947660.4857378,0.813788808152963
LT108,PT115b,-4.80541374368256,43.2811124302743,-144.25790451522,196.765168380357,0.955714187943578
LT108,J101b,-0.00122440554253211,0.0967231429617149,-3.85841868477563,89.1694771354203,0.967563579471597
PT115a,FT108,-6.23936136334537E-11,8.71496550425678E-08,-1.60022551648851E-05,0.846505748118836,0.40262069412078
PT115a,FT109,-6.84516485217393E-11,1.06343964028279E-07,-2.98249370702924E-05,0.848236684816217,0.403765339757582
PT115a,LT108,8.53632271458618E-08,-8.75448580791952E-06,-2.85683616002898E-06,0.858183186131083,0.427669894668874
PT115a,PT115a,0,0,1,0,1
PT115a,PT115b,-0.00152468323295696,0.0114437113340873,-0.021577158767292,0.857593379520278,0.482430740997979
PT115a,J101b,-3.93025026540904E-07,3.07252936820819E-05,-0.000353199338966684,0.84687342758423,0.399230529499927
PT115b,FT108,1.43612492756296E-09,1.70425079430668E-06,0.00154028601338578,1.24685595587344,0.988417318183457
PT115b,FT109,3.32487788512344E-09,-1.64678516765488E-07,0.0016773780224177,1.20772934518719,0.988174132836826
PT115b,LT108,1.61836739196571E-06,0.000365859074647326,-0.0800334966815736,4.64723945992012,0.972979445253204
PT115b,PT115a,-1974611.69213251,5001188.73278915,-4221755.5562819,1187795.18891647,0.819957644523513
PT115b,PT115b,1.71410563954898E-17,-1.55432594354834E-16,1,-5.68041823466687E-16,1
PT115b,J101b,9.3726092297632E-06,0.000484842963716298,0.0289471884084383,1.21605400916019,0.986199856107403
J101b,FT108,-5.67114453679769E-09,8.03408276824428E-06,0.051321669525266,1.16951967371743,0.997575000640933
J101b,FT109,-2.43245965468242E-10,1.34654097395284E-05,0.0423385748935682,0.971048081419227,0.997942992684581
J101b,LT108,0.000157856898687714,-0.0167489299036508,-0.128574238645826,42.8503592390305,0.976650241156508
J101b,PT115a,92964.1009717126,-885015.722322183,1306567.14682285,-528209.77954508,0.809772080690088
J101b,PT115b,1.5302360670118,-15.2073247693791,60.3420707096465,-52.9992872262325,0.989162450343818
J101b,J101b,6.57951085584419E-18,-4.93174663639188E-16,1.00000000000001,-7.71606947370259E-14,1
